Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
DOX,"Amdocs Ltd Ord",86.14,0.53,+0.62%,85.91,86.99,85.06,262940,"13:07 ET"
DPZ,"Domino's Pizza Inc",422.72,-7.99,-1.86%,436.4,437.75,421.39,291870,"13:07 ET"
DRI,"Darden Restaurants",183.97,24.1,+15.07%,177.715,188.82,176.84,2460412,"13:07 ET"
DT,"Dynatrace Inc",53.38,-0.16,-0.30%,54.14,54.26,52.9727,874347,"13:06 ET"
DTE,"Dte Energy Company",118.96,1.43,+1.22%,116.92,118.87,116.65,294752,"13:06 ET"
DTM,"Dt Midstream Inc",98.76,3.35,+3.51%,98.3,99.485,96.86,404918,"13:06 ET"
DUK,"Duke Energy Corp",107.82,2.06,+1.95%,105.88,107.81,105.74,1207649,"13:07 ET"
DUOL,"Duolingo Inc Cl A",335.81,3,+0.90%,345.16,345.74,332.8682,197745,"13:05 ET"
DV,"Doubleverify Holdings Inc",19.58,-0.27,-1.36%,19.97,20.16,19.545,720494,"13:03 ET"
DVA,"Davita Healthcare Partners Inc",147.2,0.44,+0.30%,147.12,148.29,145.99,195981,"13:05 ET"
DVN,"Devon Energy Corp",30.62,-0.48,-1.54%,31.45,31.66,30.64,6258754,"13:06 ET"
DXC,"Dxc Technology Company",21.41,0.58,+2.78%,21.11,21.84,21.11,359511,"13:04 ET"
DXCM,"Dexcom Inc",75.24,-0.02,-0.03%,75.64,75.83,74.5,986296,"13:07 ET"
EA,"Electronic Arts Inc",149.19,-0.73,-0.49%,150.12,151.4,148.94,832704,"13:06 ET"
EBAY,"Ebay Inc",63.88,-0.23,-0.36%,64.4,65.63,63.72,1958337,"13:06 ET"
ECG,"Everus Construction Group Inc",66.49,-2.01,-2.93%,68.82,69.98,65.87,513418,"13:05 ET"
ECL,"Ecolab Inc",236.48,-1.18,-0.50%,236.51,239.26,235.62,419428,"13:07 ET"
ED,"Consolidated Edison Company",89.91,1.04,+1.17%,88.68,90.03,88.37,759803,"13:05 ET"
EEFT,"Euronet Worldwide",102.83,0.84999999999999,+0.83%,103.02,104.815,102.36,113317,"13:06 ET"
EFX,"Equifax Inc",252.04,-4.79,-1.87%,256.54,259.63,252.295,412090,"13:06 ET"
EG,"Everest Re Group",351.18,2.85,+0.82%,347.88,351.745,347.75,144949,"13:05 ET"
EGP,"Eastgroup Properties",159.88,-1.32,-0.82%,161.2,163.09,159.69,139512,"13:07 ET"
EHC,"Encompass Health Corp",94.42,0.11,+0.12%,94.19,95.3559,93.86,150356,"13:06 ET"
EIX,"Edison International",78.65,0.39,+0.50%,77.95,78.81,77.4173,772290,"13:07 ET"
EL,"Estee Lauder Companies",74.49,-0.47,-0.63%,74.99,76.4,73.89,1397017,"13:07 ET"
ELAN,"Elanco Animal Health Inc",11.7,-0.03,-0.26%,11.62,11.9,11.5,2159074,"13:07 ET"
ELF,"E.L.F. Beauty Inc",126.23,-0.97,-0.76%,127.01,128.965,123.4909,517079,"13:06 ET"
ELS,"Equity Lifestyle Properties",67.48,0.82000000000001,+1.23%,66.43,67.62,66.43,311189,"13:06 ET"
ELV,"Elevance Health Inc",365.73,-0.53,-0.14%,365.1,370.9,362.21,879353,"13:06 ET"
EME,"Emcor Group",462.7,-1.72,-0.37%,470.18,477.21,461.655,117841,"13:06 ET"
EMN,"Eastman Chemical Company",90.43,-0.52,-0.57%,91.22,92.27,90.39,344892,"13:06 ET"
EMR,"Emerson Electric Company",122.54,0.16000000000001,+0.13%,124.22,125.38,122.15,1394073,"13:07 ET"
ENOV,"Enovis Corp",42.2,-1.08,-2.50%,43.44,43.74,41.71,390175,"13:03 ET"
ENPH,"Enphase Energy Inc",65.12,-3.68,-5.35%,68.19,68.9999,65.3,1784558,"13:07 ET"
ENTG,"Entegris Inc",100.02,-2.21,-2.16%,102.15,102.89,99.03,820003,"13:07 ET"
EOG,"Eog Resources",118.18,-1.45,-1.21%,120.69,121.075,118.26,1224594,"13:07 ET"
EPAM,"Epam Systems Inc",245.35,6.24,+2.61%,244.02,253.08,243.3,271705,"13:02 ET"
EPR,"Entertainment Properties Trust",43.55,0.37,+0.86%,43.25,43.82,43.15,244910,"13:07 ET"
EQH,"Axa Equitable Holdings Inc",44.73,0.37,+0.83%,45.16,45.8,44.68,977804,"13:06 ET"
EQIX,"Equinix Inc",930.2,3.8200000000001,+0.41%,925.01,938.955,925,195576,"13:05 ET"
EQR,"Equity Residential",70.75,0.56,+0.80%,70.33,71.39,70.05,398270,"13:06 ET"
EQT,"Eqt Corp",42.79,0.25,+0.59%,43.59,43.73,42.79,2627123,"13:07 ET"
ES,"Eversource Energy",56.54,0.38,+0.68%,56.15,56.7,55.97,866220,"13:07 ET"
ESAB,"Esab Corp",120.97,-2.91,-2.35%,125.04,127.29,120.87,130997,"13:06 ET"
ESI,"Element Solutions Inc",25.26,-0.42,-1.64%,25.77,25.89,25.19,514266,"13:06 ET"
ESS,"Essex Property Trust",284.25,0.25999999999999,+0.09%,283.62,287,282.13,92121,"13:06 ET"
ESTC,"Elastic N.V.",103.66,-0.25,-0.24%,105.67,106.88,103.3694,567991,"13:07 ET"
ETN,"Eaton Corp",335.98,0.86000000000001,+0.26%,339.9,340.1,334.33,914476,"13:06 ET"
ETR,"Entergy Corp",74.71,1.52,+2.08%,73.63,74.7,73.43,1293159,"13:07 ET"
ETSY,"Etsy Inc",55.92,-0.72,-1.27%,57.21,58.16,55.685,1867052,"13:06 ET"
EVR,"Evercore Partners Inc",272.18,-0.32,-0.12%,278.29,281.2085,272.15,136641,"13:06 ET"
EVRG,"Evergy Inc",61.08,0.58,+0.96%,60.34,61.15,60.23,1043611,"13:07 ET"
EW,"Edwards Lifesciences Corp",73.03,0.22,+0.30%,72.9,73.8,72.29,2555455,"13:06 ET"
EWBC,"East West Bancorp",94.89,-0.21,-0.22%,96.65,97.25,94.43,578995,"13:07 ET"
EXAS,"Exact Sciences Cor",56.12,-1.26,-2.20%,57.27,57.44,55.65,727081,"13:02 ET"
EXC,"Exelon Corp",37.44,0.88,+2.41%,36.62,37.3381,36.49,4184960,"13:07 ET"
EXE,"Expand Energy Corporation",94.32,-0.18,-0.19%,95.75,96.1,94.25,1278526,"13:05 ET"
EXEL,"Exelixis Inc",33.58,-0.08,-0.24%,33.39,34.155,33.2,938600,"13:07 ET"
EXP,"Eagle Materials Inc",252.05,-5.05,-1.96%,258.02,260.96,252.18,117192,"13:05 ET"
EXPD,"Expeditors Intl",112.79,-1.54,-1.35%,114.27,114.95,112.98,369568,"13:07 ET"
EXPE,"Expedia Group Inc",178.82,2.59,+1.47%,179,180.647,176.79,489090,"13:04 ET"
EXR,"Extra Space Storage Inc",144.47,-3.19,-2.16%,147.34,148.74,144.03,369485,"13:04 ET"
F,"Ford Motor Company",9.72,0.030000000000001,+0.31%,9.79,9.945,9.7,37571289,"13:07 ET"
FAF,"First American Corp",61.06,-1.08,-1.74%,62.21,63.545,61.13,203667,"13:05 ET"
FANG,"Diamondback Energy",154.29,-1.79,-1.15%,158.6,159.34,153.8,1011610,"13:06 ET"
FAST,"Fastenal Company",74.31,-0.34,-0.46%,74.93,75.54,74.03,1105222,"13:07 ET"
FBIN,"Fortune Brands Innovations Inc",68.6,-1.42,-2.03%,69.76,70.73,68.66,236889,"13:07 ET"
FCN,"Fti Consulting",196.9,4.07,+2.11%,192.78,197.41,192,94924,"13:04 ET"
FCNCA,"First Citizens Bancs",2067.38,38.02,+1.87%,2033.25,2099.82,2033.25,59352,"13:03 ET"
FCX,"Freeport-Mcmoran Inc",37.96,-0.75,-1.94%,38.74,39.22,37.915,5495111,"13:06 ET"
FDS,"Factset Research Systems Inc",488.87,15.82,+3.34%,459.15,496.9,459.15,290751,"13:06 ET"
FDX,"Fedex Corp",273.77,0.60999999999996,+0.22%,274.52,278.48,273.185,929420,"13:07 ET"
FE,"Firstenergy Corp",39.65,0.51,+1.30%,39.2,39.64,39.04,859754,"13:07 ET"
FERG,"Ferguson Enterprises Inc",175.07,-2.41,-1.36%,177.065,179.93,174.34,730911,"13:04 ET"
FFIV,"F5 Inc",250.31,-1.69,-0.67%,252.45,255.43,249.38,150230,"13:05 ET"
FHB,"First Hawaiian Inc",25.21,0.02,+0.08%,25.57,25.84,25.14,278276,"13:06 ET"
FHN,"First Horizon Corp",19.22,0.11,+0.58%,19.49,19.65,19.12,2165603,"13:07 ET"
FI,"Fiserv Inc",203.86,2.1,+1.04%,203.51,205.64,202.3,779052,"13:07 ET"
FICO,"Fair Isaac and Company",2039.2,-11.9,-0.58%,2055.1399,2091.96,2039.79,73287,"13:07 ET"
FIS,"Fidelity National Information Services",80.46,0.11999999999999,+0.15%,80.97,81.47,80.46,694193,"13:07 ET"
FITB,"Fifth Third Bancorp",42.18,-0.41,-0.96%,43.15,43.55,42.23,2024874,"13:07 ET"
FIVE,"Five Below Inc",106.61,0.28,+0.26%,106.49,109.09,104.65,494531,"13:05 ET"
FIVN,"Five9 Inc",40.83,-0.41,-0.99%,41.59,42.05,40.25,339594,"13:05 ET"
FIX,"Comfort Systems USA",436.6,3.48,+0.80%,443.89,446.7,435.06,157991,"13:05 ET"
FLO,"Flowers Foods",20.66,-0.09,-0.43%,20.68,20.84,20.51,345597,"13:06 ET"
FLS,"Flowserve Corp",57.85,0.4,+0.70%,58.4,58.79,57.83,272962,"13:04 ET"
FMC,"FMC Corp",48.07,-1.04,-2.12%,49.38,49.66,48.18,848851,"13:06 ET"
FNB,"F.N.B. Corp",14.4,-0.18,-1.23%,14.8,14.96,14.415,1798034,"13:07 ET"
FND,"Floor & Decor Holdings Inc",97.83,-3.91,-3.84%,101.34,102.005,97.09,771458,"13:06 ET"
FNF,"Fidelity National Financial",55.15,-0.41,-0.74%,55.67,56.79,55.24,401351,"13:07 ET"
FOUR,"Shift4 Payments Inc",101.43,2.3,+2.32%,101.48,102.7,99.72,636707,"13:07 ET"
FOX,"Fox Corp Cl B",46.12,-0.41,-0.88%,46.24,46.58,45.58,362635,"13:07 ET"
FOXA,"Fox Corp Cl A",48.99,-0.44,-0.89%,49.19,49.56,48.405,1475364,"13:07 ET"
FR,"First Industrial Realty Trust",49.82,-0.24,-0.48%,50.02,50.58,49.69,360700,"13:07 ET"
FRPT,"Freshpet Inc CS",140.32,-0.35,-0.25%,140.76,143.48,139.43,184056,"13:06 ET"
FRT,"Federal Realty Investment Trust",111.24,1.31,+1.19%,109.99,111.82,109.95,230954,"13:07 ET"
